time;Azymut:;Kąt Pitch:;Kąt Roll:
1.219;174.419;-4.253;-0.495
1.220;174.419;-4.253;-0.495
1.230;174.536;-4.253;-0.495
1.236;173.994;-1.601;-0.069
1.237;173.994;-1.601;-0.069
1.252;173.824;-1.601;-0.069
1.255;176.418;2.829;-0.693
1.256;176.418;2.829;-0.693
1.270;176.669;2.829;-0.693
1.276;-178.649;2.313;-2.837
1.276;-178.649;2.313;-2.837
1.290;-179.425;2.313;-2.837
1.296;-174.524;-10.564;-3.955
1.296;-174.524;-10.564;-3.955
1.310;-175.574;-10.564;-3.955
1.319;-175.514;-14.297;-3.656
1.320;-175.514;-14.297;-3.656
1.330;-176.491;-14.297;-3.656
1.335;168.346;-17.843;-0.487
1.335;168.346;-17.843;-0.487
1.351;168.048;-17.843;-0.487
1.356;149.228;-19.071;3.661
1.356;149.228;-19.071;3.661
1.370;153.352;-19.071;3.661
1.375;155.863;-18.882;3.027
1.375;155.863;-18.882;3.027
1.389;157.916;-18.882;3.027
1.395;163.165;-21.626;0.584
1.396;163.165;-21.626;0.584
1.410;165.604;-21.626;0.584
1.418;174.672;-24.827;-2.022
1.418;174.672;-24.827;-2.022
1.430;176.384;-24.827;-2.022
1.435;169.120;-23.549;-0.268
1.436;169.120;-23.549;-0.268
1.451;169.100;-23.549;-0.268
1.455;163.893;-22.487;1.488
1.455;163.893;-22.487;1.488
1.470;165.260;-22.487;1.488
1.475;165.823;-24.048;0.792
1.476;165.823;-24.048;0.792
1.490;168.552;-24.048;0.792
1.495;171.883;-23.891;-0.279
1.496;171.883;-23.891;-0.279
1.510;170.360;-23.891;-0.279
1.519;169.905;-25.038;-0.375
1.520;169.905;-25.038;-0.375
1.530;169.942;-25.038;-0.375
1.537;173.194;-32.213;-2.662
1.537;173.194;-32.213;-2.662
1.553;174.349;-32.213;-2.662
1.556;-179.921;-33.459;-3.924
1.556;-179.921;-33.459;-3.924
1.570;178.428;-33.459;-3.924
1.576;160.655;-35.427;-0.498
1.576;160.655;-35.427;-0.498
1.590;161.742;-35.427;-0.498
1.595;151.152;-37.010;0.667
1.596;151.152;-37.010;0.667
1.610;151.168;-37.010;0.667
1.620;160.337;-37.395;-1.334
1.621;160.337;-37.395;-1.334
1.630;156.662;-37.395;-1.334
1.637;-160.932;-38.399;-7.600
1.638;-160.932;-38.399;-7.600
1.654;-163.824;-38.399;-7.600
1.656;-137.481;-39.547;-11.653
1.656;-137.481;-39.547;-11.653
1.670;-134.443;-39.547;-11.653
1.676;-151.554;-39.749;-8.497
1.677;-151.554;-39.749;-8.497
1.691;-146.279;-39.749;-8.497
1.696;-173.978;-37.355;-6.205
1.696;-173.978;-37.355;-6.205
1.710;-174.122;-37.355;-6.205
1.720;-166.881;-36.539;-7.368
1.720;-166.881;-36.539;-7.368
1.730;-168.942;-36.539;-7.368
1.737;-174.823;-33.425;-6.906
1.738;-174.823;-33.425;-6.906
1.754;-174.570;-33.425;-6.906
1.756;-177.151;-31.368;-6.469
1.756;-177.151;-31.368;-6.469
1.771;-177.262;-31.368;-6.469
1.776;-172.625;-29.711;-7.917
1.776;-172.625;-29.711;-7.917
1.790;-172.700;-29.711;-7.917
1.795;-167.128;-28.551;-9.931
1.796;-167.128;-28.551;-9.931
1.810;-165.476;-28.551;-9.931
1.820;-163.828;-28.721;-10.409
1.820;-163.828;-28.721;-10.409
1.830;-162.321;-28.721;-10.409
1.837;-165.392;-31.597;-8.500
1.838;-165.392;-31.597;-8.500
1.854;-161.931;-31.597;-8.500
1.855;170.890;-30.036;-2.976
1.856;170.890;-30.036;-2.976
1.870;171.881;-30.036;-2.976
1.875;170.136;-28.736;-2.287
1.876;170.136;-28.736;-2.287
1.890;170.166;-28.736;-2.287
1.896;178.125;-18.601;-3.840
1.896;178.125;-18.601;-3.840
1.911;178.351;-18.601;-3.840
1.920;-177.446;-13.771;-6.032
1.921;-177.446;-13.771;-6.032
1.930;-177.258;-13.771;-6.032
1.937;-177.890;-13.670;-5.689
1.938;-177.890;-13.670;-5.689
1.954;-178.011;-13.670;-5.689
1.956;176.983;-14.255;-2.987
1.956;176.983;-14.255;-2.987
1.970;176.798;-14.255;-2.987
1.976;177.343;-13.560;-3.242
1.976;177.343;-13.560;-3.242
1.990;177.304;-13.560;-3.242
1.996;-179.043;-11.914;-5.224
1.996;-179.043;-11.914;-5.224
2.010;-179.164;-11.914;-5.224
2.016;177.824;-9.598;-3.456
2.016;177.824;-9.598;-3.456
2.030;178.016;-9.598;-3.456
2.037;174.878;-9.283;-1.632
2.037;174.878;-9.283;-1.632
2.054;174.248;-9.283;-1.632
2.056;177.488;-11.354;-3.568
2.056;177.488;-11.354;-3.568
2.071;176.629;-11.354;-3.568
2.076;-179.389;-9.755;-5.583
2.076;-179.389;-9.755;-5.583
2.091;-179.131;-9.755;-5.583
2.096;-179.307;-8.979;-5.499
2.096;-179.307;-8.979;-5.499
2.110;-178.841;-8.979;-5.499
2.115;176.251;-10.440;-3.108
2.116;176.251;-10.440;-3.108
2.130;176.934;-10.440;-3.108
2.137;177.787;-15.338;-3.726
2.137;177.787;-15.338;-3.726
2.154;178.144;-15.338;-3.726
2.157;167.662;-16.613;0.009
2.157;167.662;-16.613;0.009
2.171;167.896;-16.613;0.009
2.176;162.523;-14.951;2.664
2.176;162.523;-14.951;2.664
2.190;161.743;-14.951;2.664
2.196;177.492;-11.204;-3.201
2.196;177.492;-11.204;-3.201
2.210;178.139;-11.204;-3.201
2.216;179.418;-7.245;-3.699
2.216;179.418;-7.245;-3.699
2.230;-179.739;-7.245;-3.699
2.237;178.461;-7.888;-2.874
2.238;178.461;-7.888;-2.874
2.254;178.462;-7.888;-2.874
2.256;178.613;-9.083;-2.975
2.256;178.613;-9.083;-2.975
2.271;-179.237;-9.083;-2.975
2.276;168.763;-9.520;2.037
2.276;168.763;-9.520;2.037
2.290;168.774;-9.520;2.037
2.296;177.583;-0.959;-1.122
2.296;177.583;-0.959;-1.122
2.310;177.646;-0.959;-1.122
2.316;172.650;-0.840;1.648
2.316;172.650;-0.840;1.648
2.330;173.099;-0.840;1.648
2.338;162.017;-0.189;8.114
2.338;162.017;-0.189;8.114
2.354;162.070;-0.189;8.114
2.356;159.687;-0.883;9.307
2.356;159.687;-0.883;9.307
2.370;158.684;-0.883;9.307
2.375;171.021;-4.405;1.924
2.376;171.021;-4.405;1.924
2.390;171.058;-4.405;1.924
2.395;177.086;-6.551;-0.947
2.396;177.086;-6.551;-0.947
2.410;176.233;-6.551;-0.947
2.416;177.252;-6.770;-1.369
2.416;177.252;-6.770;-1.369
2.430;177.354;-6.770;-1.369
2.438;179.757;-6.039;-2.313
2.438;179.757;-6.039;-2.313
2.453;179.176;-6.039;-2.313
2.456;-167.171;-6.622;-7.923
2.456;-167.171;-6.622;-7.923
2.471;-165.923;-6.622;-7.923
2.476;-176.276;-3.777;-3.977
2.476;-176.276;-3.777;-3.977
2.490;-176.581;-3.777;-3.977
2.496;178.582;-1.876;-1.817
2.496;178.582;-1.876;-1.817
2.510;178.596;-1.876;-1.817
2.515;177.157;-0.137;-1.059
2.516;177.157;-0.137;-1.059
2.530;177.208;-0.137;-1.059
2.538;175.585;1.188;-0.170
2.538;175.585;1.188;-0.170
2.554;175.594;1.188;-0.170
2.556;177.315;3.917;-0.904
2.556;177.315;3.917;-0.904
2.571;176.777;3.917;-0.904
2.576;-179.173;2.911;-3.081
2.576;-179.173;2.911;-3.081
2.590;-178.664;2.911;-3.081
2.596;179.691;2.437;-2.248
2.596;179.691;2.437;-2.248
2.610;179.912;2.437;-2.248
2.615;-179.422;2.655;-2.579
2.616;-179.422;2.655;-2.579
2.630;-179.592;2.655;-2.579
2.638;-178.330;3.605;-3.223
2.638;-178.330;3.605;-3.223
2.654;-178.388;3.605;-3.223
2.656;179.754;4.855;-2.303
2.656;179.754;4.855;-2.303
2.671;179.570;4.855;-2.303
2.676;177.651;4.978;-1.302
2.676;177.651;4.978;-1.302
2.690;178.138;4.978;-1.302
2.696;176.787;6.298;-0.530
2.696;176.787;6.298;-0.530
2.710;176.505;6.298;-0.530
2.715;179.802;6.801;-2.262
2.716;179.802;6.801;-2.262
2.730;179.894;6.801;-2.262
2.738;179.350;7.844;-1.961
2.738;179.350;7.844;-1.961
2.754;179.679;7.844;-1.961
2.756;178.908;7.562;-1.546
2.756;178.908;7.562;-1.546
2.771;178.953;7.562;-1.546
2.775;179.488;7.382;-1.836
2.776;179.488;7.382;-1.836
2.790;179.625;7.382;-1.836
2.796;178.077;7.389;-1.004
2.796;178.077;7.389;-1.004
2.810;178.153;7.389;-1.004
2.816;177.898;6.759;-0.889
2.816;177.898;6.759;-0.889
2.830;177.956;6.759;-0.889
2.838;175.924;7.167;0.208
2.838;175.924;7.167;0.208
2.855;175.889;7.167;0.208
2.856;176.022;7.455;0.157
2.856;176.022;7.455;0.157
2.871;175.995;7.455;0.157
2.876;178.406;6.451;-1.141
2.876;178.406;6.451;-1.141
2.890;178.185;6.451;-1.141
2.896;176.847;5.098;-0.535
2.896;176.847;5.098;-0.535
2.910;176.825;5.098;-0.535
2.916;169.762;4.572;2.801
2.916;169.762;4.572;2.801
2.930;169.449;4.572;2.801
2.938;163.995;4.608;5.494
2.938;163.995;4.608;5.494
2.955;163.719;4.608;5.494
2.956;162.243;3.744;5.978
2.956;162.243;3.744;5.978
2.972;162.026;3.744;5.978
2.976;166.265;1.303;3.328
2.976;166.265;1.303;3.328
2.991;165.940;1.303;3.328
2.996;170.561;-0.366;1.097
2.996;170.561;-0.366;1.097
3.010;170.288;-0.366;1.097
3.016;173.896;-1.093;-0.364
3.016;173.896;-1.093;-0.364
3.030;173.309;-1.093;-0.364
3.039;-176.922;-1.526;-3.897
3.040;-176.922;-1.526;-3.897
3.057;-177.239;-1.526;-3.897
3.059;-162.332;-3.052;-8.948
3.060;-162.332;-3.052;-8.948
3.072;-162.917;-3.052;-8.948
3.076;-160.050;-4.293;-9.548
3.076;-160.050;-4.293;-9.548
3.094;-169.246;-5.546;-6.232
3.095;-169.246;-5.546;-6.232
3.095;-170.081;-5.546;-6.232
3.110;-171.497;-5.546;-6.232
3.116;-171.165;-11.166;-5.418
3.116;-171.165;-11.166;-5.418
3.131;-178.408;-11.166;-5.418
3.141;-171.171;-12.537;-6.814
3.142;-171.171;-12.537;-6.814
3.150;-178.227;-12.537;-6.814
3.155;179.765;-12.105;-6.359
3.155;179.765;-12.105;-6.359
3.170;175.161;-12.105;-6.359
3.175;-168.408;-11.138;-10.776
3.175;-168.408;-11.138;-10.776
3.190;-170.803;-11.138;-10.776
3.195;-166.865;-9.261;-12.387
3.195;-166.865;-9.261;-12.387
3.210;-171.121;-9.261;-12.387
3.215;-172.520;-9.263;-11.896
3.216;-172.520;-9.263;-11.896
3.230;-175.721;-9.263;-11.896
3.238;-169.659;-9.569;-14.063
3.239;-169.659;-9.569;-14.063
3.250;-171.152;-9.569;-14.063
3.256;-171.499;-11.480;-13.621
3.257;-171.499;-11.480;-13.621
3.273;-174.714;-11.480;-13.621
3.276;-176.600;-13.021;-12.858
3.276;-176.600;-13.021;-12.858
3.290;-179.442;-13.021;-12.858
3.296;166.120;-13.625;-7.735
3.296;166.120;-13.625;-7.735
3.311;163.816;-13.625;-7.735
3.316;-170.109;-14.285;-17.521
3.317;-170.109;-14.285;-17.521
3.330;-171.369;-14.285;-17.521
3.338;-173.086;-15.813;-16.673
3.339;-173.086;-15.813;-16.673
3.355;-175.692;-15.813;-16.673
3.356;-175.630;-15.620;-16.711
3.356;-175.630;-15.620;-16.711
3.373;-176.768;-15.620;-16.711
3.376;-172.418;-16.189;-18.204
3.376;-172.418;-16.189;-18.204
3.390;-173.777;-16.189;-18.204
3.396;170.105;-19.685;-12.746
3.396;170.105;-19.685;-12.746
3.411;166.979;-19.685;-12.746
3.416;-173.122;-18.915;-19.360
3.417;-173.122;-18.915;-19.360
3.430;-173.599;-18.915;-19.360
3.439;-166.871;-21.545;-21.074
3.439;-166.871;-21.545;-21.074
3.451;-167.939;-21.545;-21.074
3.457;-174.683;-20.412;-19.100
3.457;-174.683;-20.412;-19.100
3.473;-177.043;-20.412;-19.100
3.476;-172.581;-19.442;-20.855
3.476;-172.581;-19.442;-20.855
3.490;-172.655;-19.442;-20.855
3.496;-174.687;-22.978;-19.676
3.496;-174.687;-22.978;-19.676
3.510;-177.145;-22.978;-19.676
3.516;168.955;-22.719;-14.823
3.517;168.955;-22.719;-14.823
3.530;168.903;-22.719;-14.823
3.539;-165.275;-29.411;-21.824
3.540;-165.275;-29.411;-21.824
3.550;-169.189;-29.411;-21.824
3.556;-170.488;-29.769;-21.447
3.556;-170.488;-29.769;-21.447
3.572;-171.554;-29.769;-21.447
3.576;-146.027;-36.006;-22.655
3.576;-146.027;-36.006;-22.655
3.591;-151.970;-36.006;-22.655
3.596;-98.655;-39.752;-24.661
3.596;-98.655;-39.752;-24.661
3.610;-126.275;-39.752;-24.661
3.616;-159.831;-36.506;-23.588
3.616;-159.831;-36.506;-23.588
3.630;-159.018;-36.506;-23.588
3.639;-170.595;-33.524;-22.856
3.640;-170.595;-33.524;-22.856
3.650;-164.965;-33.524;-22.856
3.656;-141.542;-34.616;-26.800
3.657;-141.542;-34.616;-26.800
3.673;-147.107;-34.616;-26.800
3.676;-133.834;-35.051;-30.236
3.676;-133.834;-35.051;-30.236
3.690;-132.078;-35.051;-30.236
3.696;-135.623;-33.914;-30.646
3.696;-135.623;-33.914;-30.646
3.711;-135.215;-33.914;-30.646
3.716;-160.746;-34.926;-23.641
3.716;-160.746;-34.926;-23.641
3.730;-162.783;-34.926;-23.641
3.740;179.269;-34.901;-20.780
3.740;179.269;-34.901;-20.780
3.750;-177.102;-34.901;-20.780
3.757;-147.245;-35.670;-25.077
3.757;-147.245;-35.670;-25.077
3.773;-141.887;-35.670;-25.077
3.776;-137.669;-34.739;-27.122
3.776;-137.669;-34.739;-27.122
3.791;-134.562;-34.739;-27.122
3.796;-155.229;-32.364;-24.459
3.796;-155.229;-32.364;-24.459
3.810;-156.521;-32.364;-24.459
3.816;-170.370;-28.801;-22.598
3.816;-170.370;-28.801;-22.598
3.830;-168.334;-28.801;-22.598
3.839;-175.995;-27.391;-20.802
3.840;-175.995;-27.391;-20.802
3.851;-175.941;-27.391;-20.802
3.857;-176.740;-27.210;-20.590
3.858;-176.740;-27.210;-20.590
3.873;-177.254;-27.210;-20.590
3.876;-173.870;-26.809;-21.594
3.876;-173.870;-26.809;-21.594
3.891;-174.102;-26.809;-21.594
3.896;179.486;-22.162;-19.684
3.896;179.486;-22.162;-19.684
3.910;179.021;-22.162;-19.684
3.916;171.030;-18.127;-15.679
3.916;171.030;-18.127;-15.679
3.931;170.970;-18.127;-15.679
3.939;169.191;-18.410;-14.844
3.940;169.191;-18.410;-14.844
3.950;169.191;-18.410;-14.844
3.956;169.701;-18.851;-15.198
3.957;169.701;-18.851;-15.198
3.973;169.748;-18.851;-15.198
3.976;168.295;-15.354;-13.597
3.976;168.295;-15.354;-13.597
3.990;168.521;-15.354;-13.597
3.996;169.399;-11.721;-13.300
3.996;169.399;-11.721;-13.300
4.010;170.762;-11.721;-13.300
4.016;171.799;-9.472;-13.543
4.016;171.799;-9.472;-13.543
4.030;172.925;-9.472;-13.543
4.040;172.369;-11.053;-13.452
4.041;172.369;-11.053;-13.452
4.050;174.028;-11.053;-13.452
4.057;171.341;-10.845;-12.010
4.057;171.341;-10.845;-12.010
4.074;172.526;-10.845;-12.010
4.076;170.392;-7.297;-10.289
4.076;170.392;-7.297;-10.289
4.095;172.413;-7.297;-10.289
4.096;173.667;-5.198;-10.711
4.096;173.667;-5.198;-10.711
4.113;174.954;-5.198;-10.711
4.115;171.981;-6.762;-9.315
4.116;171.981;-6.762;-9.315
4.130;172.719;-6.762;-9.315
4.139;167.055;-11.469;-7.422
4.139;167.055;-11.469;-7.422
4.150;169.727;-11.469;-7.422
4.155;173.633;-13.908;-9.485
4.156;173.633;-13.908;-9.485
4.172;175.617;-13.908;-9.485
4.175;167.365;-9.756;-5.281
4.175;167.365;-9.756;-5.281
4.190;169.450;-9.756;-5.281
4.195;161.892;-8.878;-1.465
4.195;161.892;-8.878;-1.465
4.210;163.132;-8.878;-1.465
4.216;168.291;-6.889;-3.496
4.216;168.291;-6.889;-3.496
4.230;169.306;-6.889;-3.496
4.240;166.985;-4.254;-1.702
4.240;166.985;-4.254;-1.702
4.250;167.879;-4.254;-1.702
4.257;168.996;-6.186;-2.666
4.257;168.996;-6.186;-2.666
4.273;169.633;-6.186;-2.666
4.276;171.126;-7.068;-3.518
4.276;171.126;-7.068;-3.518
4.291;172.218;-7.068;-3.518
4.296;171.515;-9.097;-3.544
4.296;171.515;-9.097;-3.544
4.310;172.827;-9.097;-3.544
4.316;173.149;-7.171;-3.420
4.316;173.149;-7.171;-3.420
4.330;173.536;-7.171;-3.420
4.340;170.108;-4.992;-1.593
4.340;170.108;-4.992;-1.593
4.350;172.087;-4.992;-1.593
4.357;159.200;-3.099;4.936
4.358;159.200;-3.099;4.936
4.374;159.544;-3.099;4.936
4.376;158.896;-5.783;4.190
4.376;158.896;-5.783;4.190
4.390;160.413;-5.783;4.190
4.396;160.032;-2.859;5.460
4.396;160.032;-2.859;5.460
4.410;159.809;-2.859;5.460
4.416;163.512;0.810;4.766
4.416;163.512;0.810;4.766
4.430;163.156;0.810;4.766
4.436;167.597;1.053;2.564
4.436;167.597;1.053;2.564
4.450;167.496;1.053;2.564
4.457;166.752;0.372;2.783
4.457;166.752;0.372;2.783
4.474;166.639;0.372;2.783
4.476;163.737;-1.016;3.772
4.476;163.737;-1.016;3.772
4.491;163.202;-1.016;3.772
4.496;166.772;-1.101;2.182
4.496;166.772;-1.101;2.182
4.511;166.726;-1.101;2.182
4.516;170.918;-0.390;0.529
4.516;170.918;-0.390;0.529
4.531;171.922;-0.390;0.529
4.536;173.122;0.437;0.124
4.536;173.122;0.437;0.124
4.550;171.879;0.437;0.124
4.557;173.902;2.860;-0.469
4.557;173.902;2.860;-0.469
4.576;173.878;2.860;-0.469
4.577;175.769;5.955;-1.091
4.577;175.769;5.955;-1.091
4.611;175.644;5.955;-1.091
4.611;175.584;7.252;-0.967
4.612;175.584;7.252;-0.967
4.612;176.213;7.252;-0.967
4.615;178.296;6.497;-2.026
4.616;178.296;6.497;-2.026
4.630;178.297;6.497;-2.026
4.635;179.516;6.445;-2.605
4.636;179.516;6.445;-2.605
4.650;179.274;6.445;-2.605
4.655;176.865;7.437;-1.433
4.656;176.865;7.437;-1.433
4.673;177.557;7.437;-1.433
4.675;178.193;7.795;-1.720
4.676;178.193;7.795;-1.720
4.690;177.774;7.795;-1.720
4.695;176.136;6.370;-1.034
4.696;176.136;6.370;-1.034
4.710;176.245;6.370;-1.034
4.715;179.531;6.918;-2.472
4.715;179.531;6.918;-2.472
4.730;179.996;6.918;-2.472
4.735;176.956;8.178;-1.042
4.735;176.956;8.178;-1.042
4.750;176.178;8.178;-1.042
4.757;177.422;8.063;-1.622
4.757;177.422;8.063;-1.622
4.774;178.053;8.063;-1.622
4.776;-176.907;6.825;-3.828
4.776;-176.907;6.825;-3.828
4.790;-176.175;6.825;-3.828
4.796;-176.875;6.455;-3.512
4.796;-176.875;6.455;-3.512
4.810;-176.745;6.455;-3.512
4.815;-179.972;6.715;-2.154
4.818;-179.972;6.715;-2.154
4.831;179.452;6.715;-2.154
4.836;179.561;8.467;-2.187
4.836;179.561;8.467;-2.187
4.850;179.845;8.467;-2.187
4.858;-179.372;9.993;-2.552
4.859;-179.372;9.993;-2.552
4.874;-179.658;9.993;-2.552
4.875;-177.332;8.871;-3.595
4.876;-177.332;8.871;-3.595
4.890;-176.902;8.871;-3.595
4.895;-176.266;9.390;-3.915
4.896;-176.266;9.390;-3.915
4.910;-176.395;9.390;-3.915
4.915;-176.113;10.302;-4.103
4.915;-176.113;10.302;-4.103
4.930;-175.688;10.302;-4.103
4.936;-176.768;10.311;-3.590
4.936;-176.768;10.311;-3.590
4.950;-176.665;10.311;-3.590
4.956;-176.903;9.085;-3.415
4.956;-176.903;9.085;-3.415
4.973;-176.954;9.085;-3.415
4.976;-178.964;9.148;-2.507
4.976;-178.964;9.148;-2.507
4.991;-179.023;9.148;-2.507
4.996;179.102;11.051;-1.634
4.996;179.102;11.051;-1.634
5.010;179.216;11.051;-1.634
5.015;-179.055;11.604;-2.477
5.016;-179.055;11.604;-2.477
5.030;-179.038;11.604;-2.477
5.036;-177.200;13.097;-3.443
5.036;-177.200;13.097;-3.443
